,날짜,코디,조회수,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
514,20220407,댄디,8507,와이드핏,캠퍼스,꾸안꾸,워싱,봄,캐주얼,퍼블릭아이콘,버빌리안,2365,예일,발렌티노 루디,데님 팬츠,안경 소품,메신저크로스 백,캔버스단화,후드 티셔츠,디지털,,,,,,,
516,20220823,스포츠,8492,편안한,꾸안꾸,캠퍼스,로고플레이,컬러블록,여름,캐주얼,바이모스,소니,예일,컬럼비아 유니버시티,뉴발란스,메신저크로스 백,기타 컬처,헤드폰,후드 티셔츠,숏 팬츠,패션스니커즈화,,,,,,
518,20220302,캐주얼,8483,올블랙,데이트,레더,에코,와이드핏,봄,댄디,라퍼지스토어,토마스모어,밀리언코르,레더라이더스 재킷,메신저크로스 백,셔츠블라우스,구두,벨트,,,,,,,,,
531,20220428,캐주얼,8277,와이드핏,컬러블록,데이트,콜라보,펀칭,봄,댄디,예루살렘 샌들,비슬로우,세인트스코트런던,질스튜어트 맨 액세서리,미나브,샌들,코튼 팬츠,기타 시계,토트백,,,,,,,,
535,20220518,포멀,8232,원마일웨어,레터링,셋업코디,컬러포인트,봄,캐주얼,차코,오가프,슈퍼서브,웜그레이테일,샌들,캡야구 모자,반소매 티셔츠,케이스슬리브,,,,,,,,,,
536,20220503,캐주얼,8220,그래픽,로고플레이,와이드핏,봄,캐주얼,얼모스트블루,마이크로데이,토피,팔렛,카시오,백팩,기타 컬처,패션스니커즈화,데님 팬츠,반소매 티셔츠,디지털,,,,,,,,
537,20220419,아메리칸 캐주얼,8212,레터링,셋업코디,꾸안꾸,편안한,원마일웨어,봄,캐주얼,앤버튼,어반디타입,비전스트릿웨어,에이지,뎃츠잇,케이스슬리브,아노락 재킷,버킷사파리햇,러닝화,반소매 티셔츠,,,,,,,
539,20220408,댄디,8133,편안한,원마일웨어,캠퍼스,에코,오버핏,그래픽,봄,캐주얼,제로,캉골,노우웨이브,케즈,피비피비,비전스트릿웨어,트레이닝조거 팬츠,액자포스터,에코백,잡지무크지,캡야구 모자,케이스슬리브,반소매 티셔츠,,,
543,20220901,포멀,8050,캠퍼스,꾸안꾸,여름,캐주얼,네이키드니스,칸코,바스틱,프로스펙스,신지모루,백팩,기타 컬처,맨투맨스웨트셔츠,데님 팬츠,캔버스단화,시계 용품,,,,,,,,,
545,20220502,캐주얼,8013,린넨,와이드핏,봄,댄디,브랜즈,수아레,콜릿,피스메이커,애플,캔버스단화,니트스웨터,슈트 팬츠슬랙스,메신저크로스 백,디지털,,,,,,,,,,
549,20220922,캐주얼,7968,콜라보,캠퍼스,꾸안꾸,가을,캐주얼,얼모스트블루,아디다스,비슬로우,예일,테이크이지,백팩,기타 컬처,캔버스단화,데님 팬츠,스타디움 재킷,후드 티셔츠,,,,,,,,
550,20220322,캐주얼,7960,로고플레이,와이드핏,편안한,원마일웨어,봄,캐주얼,토앤토,비브이에이치,파르티멘토,예일,디스이즈네버댓,슬리퍼,안경,트레이닝조거 팬츠,후드 티셔츠,트레이닝 재킷,,,,,,,,
